TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
Ultrabook,13.3,4.0,13,8,Windows 10,1.29,1499.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,14.0,13,8,Windows 10,2.06,1749.0,1,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Netbook,11.6,1.0,15,4,Windows 10,1.63,744.0,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Netbook,12.5,1.0,13,8,Windows 10,1.26,1389.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,13,4,Windows 10,2.1,780.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,1,8,Windows 10,2.04,629.0,0,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,14.0,14,16,Windows 10,2.62,1679.0,0,0,512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,4,Windows 10,2.4,609.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,12,Windows 10,3.74,1749.0,0,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,2.9,2415.0,0,0,0,0,0,1512,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,13.3,4.0,13,8,Windows 10,0.81,1499.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,14,8,Windows 10,1.98,961.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,8,Windows 10,2.18,789.81,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,14,8,Windows 10,1.32,1859.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ultrabook,12.5,14.0,14,16,Windows 10,1.29,1799.0,1,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Netbook,11.6,1.0,10,4,Chrome OS,1.23,385.0,0,0,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Gaming,17.3,4.0,14,16,Windows 10,4.36,2505.02,0,0,0,0,0,1128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,13,4,Windows 10,1.76,755.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
